"T","Na","Na2","NaO","Na2O2","Na2SO4","O","O3","S","S2","S3","S4","S5","S6","S7","S8","SO","SO3","S2O","O2","SO2"
328.0,-108.80961523441306,-192.3772579367452,-162.0830830784898,-213.96503333996384,-113.80440221641425,-143.0352890630615,-220.89882254107903,-203.97704302137979,-255.580625377053,-365.39904203474777,-474.94241779773466,-584.7990554289213,-687.0364666476177,-800.2186537139744,-905.7421004015578,-160.66529145850876,-135.3483698739291,-246.25269793854508,-109.50276241497599,-109.50276241497897
329.0,-108.44923979670946,-191.73450163002047,-161.54358689552058,-213.2552352602707,-113.41428274911864,-142.5786721651679,-220.19783672485474,-203.33808496362985,-254.77856433900732,-364.2611795570714,-473.46859536416866,-583.0087674477068,-684.9386288316322,-797.7775967597223,-902.9820813679762,-160.1486582370068,-134.91661958797096,-245.47506659098195,-109.14238697727265,-109.14238697727585
330.0,-108.09106386578702,-191.09566676725177,-161.00737874135066,-212.54976742259572,-113.02656302346601,-142.1248271246988,-219.501121806609,-202.70299478487408,-253.98136171905355,-363.13020232605277,-472.0036799062163,-581.2292997143525,-682.8534604688099,-795.3512812170724,-900.2387207841726,-159.635163286069,-134.48750779975984,-244.70215155849388,-108.78421104635039,-108.78421104635383
331.0,-107.73506749968638,-190.46071780382835,-160.47442880595588,-211.84859055556348,-112.64122121161293,-141.67372883234682,-218.8086390254818,-202.07173747414592,-253.1889735287737,-362.00604802073735,-470.5475908476189,-579.4605542976913,-680.780846937765,-792.9395737017346,-897.5118679710267,-159.12477817560134,-134.06101055432103,-243.93391012577416,-108.42821468025004,-108.42821468025373
332.0,-107.38123099639847,-189.82961962271287,-159.9447076382802,-211.15166586066954,-112.25823574865105,-141.22535248118507,-218.12035008766642,-201.44427844229983,-252.40135630985006,-360.8886550712087,-469.1002485828412,-577.7024344470886,-678.7206749984613,-790.5423424371837,-894.8013740651693,-158.61747481799736,-133.63710418508245,-243.1703000921313,-108.07437817696238,-108.07437817696633
333.0,-107.02953489027145,-189.20233752804145,-159.4181861408532,-210.4589550051961,-111.87758532868168,-140.7796735621286,-217.4362171594056,-200.8205835156681,-251.618467126092,-359.77796264728937,-467.6615744624697,-575.9548445746711,-676.6728327714238,-788.1594572304552,-892.1070919916577,-158.1132254629936,-133.21576530955994,-242.41127976375688,-107.72268207083562,-107.72268207083985
334.0,-106.67995994848278,-188.57883723883947,-158.89483556450458,-209.77042011525526,-111.49924890096138,-140.33666785947747,-216.7562028601137,-200.20061892983088,-250.84026355560385,-358.6739106474432,-466.23149077887047,-574.217690237874,-674.6372097173204,-785.7907894483766,-889.4288764371349,-157.6120026926162,-132.79697082511913,-241.65680794613002,-107.37310712904726,-107.3731071290518
335.0,-106.33248716757313,-187.9590848828475,-158.3746275031717,-209.0860237689542,-111.12320566611335,-139.89631144653896,-216.08027025562006,-199.58435132349905,-250.0667036830958,-357.57643968787795,-464.8099207521089,-572.4908781223045,-672.6136966169122,-783.436211994228,-886.7665838234786,-157.1137794162188,-132.38069790481177,-240.90684393656014,-107.02563434813824,-107.02563434814311
336.0,-105.98709777004379,-187.34304699046015,-157.85753388880119,-208.40572898968463,-110.74943507240754,-139.45858068132844,-215.4083828515345,-198.9717477325059,-249.29774609233127,-356.48549109184427,-463.396788516119,-570.7743160249117,-670.6021855513667,-781.0955992848222,-884.1200722819191,-156.61852886560925,-131.96692399328722,-240.16134751686207,-106.68024495060924,-106.68024495061444
337.0,-105.64377320101187,-186.73069048876823,-157.34352698634018,-207.72949923952956,-110.37791681210666,-139.02345220234713,-214.7405045867301,-198.36277558390708,-248.53334985871032,-355.40100687912485,-461.99201910512176,-569.0679128374587,-668.6025698829197,-778.7688272279939,-881.4892016276235,-156.12622459026312,-131.55562680277666,-239.4202789461625,-106.33692038157767,-106.33692038158324
338.0,-105.30249512492682,-186.1219826957091,-156.83257938881624,-207.0572984127865,-110.00863081787438,-138.59090292443395,-214.07659982694113,-197.75740269018442,-247.7734745419837,-354.3229297557104,-460.5955384402838,-567.3715785302863,-666.614744235881,-776.4557732004888,-878.873833334728,-155.63684045262204,-131.1467843091466,-238.68359895383358,-105.99564230549304,-105.995642305499
339.0,-104.9632454223437,-185.51689131431965,-156.3246640125049,-206.38909082960618,-109.64155725924773,-138.16091003469126,-213.41663335847358,-197.1555972435537,-247.01808017909758,-353.25120310366066,-459.20727331661413,-565.685224136369,-664.638604477982,-774.1563160262477,-876.2738305118183,-155.15035062347533,-130.7403747480223,-237.95126873255197,-105.65639260291027,-105.65639260291665
340.0,-104.62600618675344,-184.9153844270885,-155.81975409218174,-205.72484122974174,-109.27667653917095,-137.7334509884826,-212.76057038202754,-196.5573278103724,-246.2671272771647,-352.18577097114377,-457.82715139009304,-564.0087617356519,-662.6740477020506,-771.870335955076,-873.6890578778441,-154.666729577424,-130.33637661098078,-237.22324993148163,-105.31915336732044,-105.31915336732726
341.0,-104.29075972146875,-184.3174304904105,-155.31782317645775,-205.06451476640873,-108.91396929058963,-137.3085035055004,-212.1083765066271,-195.9625633256469,-245.52057680655912,-351.1265780626523,-456.4551011650278,-562.3421044396638,-660.7209722080106,-769.5977146416876,-871.1193817384569,-154.1859520884235,-129.9347686418078,-236.49950464957504,-104.98390690203622,-104.98390690204351
342.0,-103.95748853656404,-183.72299832913407,-154.81884512319698,-204.4080770002512,-108.55341637310316,-136.88604556590298,-211.46001774365646,-195.3712730876356,-244.7783901941331,-350.0735697293903,-455.09105198163104,-560.6851663764035,-658.7792774851987,-767.3383351251214,-868.5646699627672,-153.70799322540574,-129.53552983282222,-235.77999542899337,-104.65063571713202,-104.6506357171398
